Ticker,Close,Upper_Band,Lower_Band,Volume,50-day MA,RSI,Current Price,Earnings Date,Days Until Earnings,Recommended Buy Price,Expiration Date,Delta,Sell Put Strike Price,Overbought,Oversold,Near Upper Band,Near Lower Band,Above 50-day MA,Earnings Soon,Recommended_Buy_Price,Buy_Score,Rank
PLTR,80.55000305175781,80.10914014088367,62.37285982859875,278971100,58.61159996032715,69.45055774236955,80.55,2025-02-03,42,65.49150282002869,2025-01-24,-0.0,[92m76.0[0m,False,False,True,False,True,False,65.49,1.83,11
SOFI,15.350000381469727,16.830284887848784,14.890714925231052,52620600,13.40959997177124,45.39474117623808,15.35,2025-01-27,35,14.582500362396239,2025-01-24,-0.0,[92m15.0[0m,False,False,False,False,True,True,14.58,1.34,12
NKE,76.94000244140625,79.62813933720008,76.34685989986048,49863700,78.14680007934571,38.57600134913158,76.94,2025-03-19,86,73.09300231933594,2025-01-24,-0.0,[92m76.0[0m,False,False,False,False,False,False,73.09,1.33,13
META,585.25,648.4527667814815,554.8142376130498,48917700,585.9780017089844,46.971871475156576,585.25,2025-01-30,38,582.5549494937023,2025-01-24,-0.0,[92m510.0[0m,False,False,False,False,False,False,582.55,1.32,14
NIO,4.539999961853027,4.977688223634872,4.170311873639908,36525600,4.908200006484986,53.21100776960616,4.54,2025-03-03,70,4.378827467321903,2025-01-24,-0.02,[92m4.5[0m,False,False,False,False,False,False,4.38,1.24,15
AAL,16.8799991607666,18.56954096204748,13.57645875566492,28634300,14.490999927520752,70.08850271527268,16.88,2025-01-23,31,14.255281693448167,2025-01-24,-0.0,[92m16.5[0m,True,False,False,False,True,True,14.26,1.19,16
BABA,82.27999877929688,91.17384075264962,81.5731593694207,21246900,92.69899993896485,41.91274179361027,82.28,2025-02-05,44,78.16599884033202,2025-01-24,-0.0,[92m78.0[0m,False,False,False,False,False,False,78.17,1.14,17
KHC,30.520000457763672,32.47451335917778,30.17148654926949,20431400,32.73740005493164,39.33463774564109,30.52,2025-02-12,51,28.99400043487549,2025-01-24,-0.0,[92m29.0[0m,False,False,False,False,False,False,28.99,1.13,18
PINS,29.489999771118164,32.88433487398899,28.983665156528588,16940200,31.389799880981446,44.913418997474,29.49,2025-02-06,45,28.015499782562255,2025-01-24,-0.0,[92m28.0[0m,False,False,False,False,False,False,28.02,1.11,19
QCOM,152.88999938964844,164.77224205734024,151.45475684402697,17228400,163.8470001220703,30.853472383488935,152.89,2025-01-29,37,145.245499420166,2025-01-24,-0.0,[92m135.0[0m,False,False,False,False,False,False,145.25,1.11,19
ABNB,134.2100067138672,143.1455754056775,128.6504275545276,15470100,135.63039993286134,44.02768030344201,134.21,2025-02-11,50,127.49950637817382,2025-01-24,-0.0,[92m119.0[0m,False,False,False,False,False,False,127.5,1.1,21
TGT,131.47999572753906,137.21541668912096,125.89258120516615,7162500,143.00539962768553,52.248507300301476,131.48,2025-03-03,70,124.9059959411621,2025-01-24,-0.0,[92m115.0[0m,False,False,False,False,False,False,124.91,1.05,22
NFLX,909.0499877929688,945.0151134363604,866.2428760655927,4517100,829.6937951660157,53.70746438750999,909.05,2025-01-21,29,863.5974884033203,2025-01-24,-0.0,[92m895.0[0m,False,False,False,False,True,True,863.6,1.03,23
LCID,3.0199999809265137,2.9288752562770948,1.8336247198810471,156730300,2.4144999980926514,74.58562597112739,3.02,2025-02-19,58,1.9253059558750996,2025-01-24,-0.05,[92m3.0[0m,True,False,True,False,True,False,1.93,1.03,23
AAPL,254.49000549316406,257.62601976861845,229.88797711858857,146890100,234.82159942626953,75.94014003877392,254.49,2025-01-30,38,241.382375974518,2025-01-24,-0.0,[92m195.0[0m,True,False,False,False,True,False,241.38,0.96,25
AMZN,224.9199981689453,240.3498251427194,197.70817351450717,88012500,205.48239990234376,64.61633887915443,224.92,2025-01-30,38,207.59358219023252,2025-01-24,-0.0,[92m210.0[0m,False,False,False,False,True,False,207.59,0.58,26
MSFT,436.6000061035156,459.79832356095636,415.02767436384835,64235200,426.8626007080078,55.47757939033836,436.6,2025-01-28,36,435.77905808204076,2025-01-24,-0.0,[92m410.0[0m,False,False,False,False,True,False,435.78,0.42,27
WMT,92.23999786376953,96.8158974078134,90.02310253115144,49329200,87.2679997253418,48.251740789869444,92.24,2025-02-20,59,87.62799797058105,2025-01-24,-0.0,[92m92.0[0m,False,False,False,False,True,False,87.63,0.32,28
